# ----------------------------------------
# Pages and screens: Page title and screen class
# Account: sri-kaza.com
# Property: sri-kaza.com
# ----------------------------------------
# 
# All Users
# Start date: 20260322
# End date: 20260619
Page title and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
"Sri Kaza | Executive, Author and Entreprenuer",481,141,3.4113475177304964,3.326241134751773,1260,0,0
Amazon Built an Empire Being Good to Customers. Then It Won.,148,6,24.666666666666668,80,174,0,0
One Small Business Beat the President,130,2,65,69,161,0,0
"Sri Kaza | Executive, Speaker & Award Winning Author of Unconvention hero",123,77,1.5974025974025974,6.701298701298701,124,0,0
Nobody's Watching Out for You,105,2,52.5,35.5,108,0,0
"Sri Kaza | Executive, Speaker & Award Winning Author of Unconvention",100,68,1.4705882352941178,27.691176470588236,530,11,0
Small Business Strategy Blog | Practical Advice for Entrepreneurs,91,17,5.352941176470588,33.35294117647059,139,0,0
The Squeeze on American Farmers,87,6,14.5,37.666666666666664,101,0,0
"Unconvention: A Small Business Strategy Guide | Award Winning, #1 Amazon Bestseller",65,21,3.0952380952380953,41.285714285714285,196,1,0
Lilli: The Next Generation of Consulting,57,24,2.375,26.583333333333332,94,0,0
Unconvention Book,46,20,2.3,11.7,47,0,0
Write Your Unconvention Review | AI Assistant,39,20,1.95,63.65,84,0,0
How Small Businesses Outsmart Big Companies,33,6,5.5,13,33,0,0
The Question Has Changed,33,3,11,36.666666666666664,38,0,0
Small Business Financing Is Broken,30,3,10,45.333333333333336,35,0,0
Two Economies,30,6,5,12.666666666666666,38,0,0
When the Platform Becomes the Predator,28,4,7,32.5,35,0,0
Non-Obvious House @ SXSW - Austin | Book Tour,26,1,26,37,27,0,0
War and the Small Business Economy,21,4,5.25,45.75,28,0,0
The Most Obvious Monopoly in America,20,4,5,21.5,24,0,0
Best Business Books for Entrepreneurs Without MBAs | Sri Kaza,18,8,2.25,21.625,95,1,0
Hire Sri Kaza | Keynote Speaker on Small Business Strategy & Entrepreneurship,18,11,1.6363636363636365,27.363636363636363,36,1,0
Book Cellar - Chicago | Book Tour,17,2,8.5,3.5,17,0,0
The Innovate Summit - Louisville | Book Tour,16,1,16,22,16,0,0
The Bank Isn't Rooting for You,15,2,7.5,31.5,19,0,0
"Sri Kaza | Executive, Author and Entreprenuer hero",14,12,1.1666666666666667,0.25,14,0,0
"When War Hits the Economy, Small Business Pays First",14,1,14,24,17,0,0
Everything is Personal Podcast: How Small Businesses Outsmart Big Companies | Sri Kaza,10,5,2,26.6,14,0,0
The Authenticity Advantage,9,3,3,4.666666666666667,20,0,0
Don't Trust Google with Your Business Listings,7,3,2.3333333333333335,121.33333333333333,8,0,0
Events & Appearances | Sri Kaza,7,2,3.5,0.5,9,0,0
Featured Author — Non-Obvious 7-Minute Meetup @ SXSW 2026,6,4,1.5,16.5,6,0,0
