Top pages,Clicks,Impressions,CTR,Position
https://sri-kaza.com/,30,610,4.92%,3.79
https://sri-kaza.com/blog/mckinsey-ai,17,3196,0.53%,9.74
https://sri-kaza.com/book,9,467,1.93%,5.88
https://sri-kaza.com/reading-list,2,1291,0.15%,29.73
https://sri-kaza.com/speaking,2,155,1.29%,6.08
https://sri-kaza.com/blog/authenticity-in-social-media,1,496,0.2%,9.44
https://sri-kaza.com/blog/dont-trust-google,1,234,0.43%,13.19
https://sri-kaza.com/blog/restaurant-productivity,1,201,0.5%,8.03
https://sri-kaza.com/blog/iran-war-economy,1,49,2.04%,11.65
https://sri-kaza.com/blog/farmers-squeeze,1,41,2.44%,4.66
https://sri-kaza.com/blog/book-cellar,1,12,8.33%,10.42
https://sri-kaza.com/blog/art-of-the-trade-deal,1,8,12.5%,14.75
https://sri-kaza.com/media/brandcalledyou-s7e252,1,7,14.29%,4.57
https://sri-kaza.com/blog/qbi-deduction-professionals,0,434,0%,9.81
https://sri-kaza.com/book-tour/book-cellar-chicago,0,121,0%,40.84
https://sri-kaza.com/blog/ai-adoption-small-business,0,118,0%,9.73
https://sri-kaza.com/media/unleashed,0,99,0%,8.24
https://sri-kaza.com/blog/unconvention-announcement,0,68,0%,9.38
https://sri-kaza.com/blog/workforce-pipeline,0,67,0%,6.22
https://sri-kaza.com/book-tour,0,59,0%,7.51
https://sri-kaza.com/blog/two-economies,0,57,0%,10.49
https://sri-kaza.com/blog/unconvention-topping-charts,0,52,0%,12.48
https://sri-kaza.com/blog,0,50,0%,5.4
https://sri-kaza.com/blog/small-business-confidence,0,47,0%,12.85
https://sri-kaza.com/blog/freelancers,0,43,0%,9.6
https://sri-kaza.com/blog/pursuing-growth,0,40,0%,8.35
https://sri-kaza.com/blog/february-gap,0,38,0%,9.37
https://sri-kaza.com/book-tour/new-york,0,34,0%,22.62
https://sri-kaza.com/blog/amazon-price-fixing,0,33,0%,8.36
https://sri-kaza.com/book-tour/san-francisco,0,31,0%,25.29
https://sri-kaza.com/blog/power-of-conviction,0,29,0%,11.1
https://sri-kaza.com/media/deep-wealth-520,0,27,0%,5.26
https://sri-kaza.com/media/everything-is-personal-265,0,26,0%,20.69
https://sri-kaza.com/media/profitam-287,0,25,0%,8.76
https://sri-kaza.com/blog/smb-financing,0,23,0%,8.26
https://sri-kaza.com/blog/ticketmaster-monopoly,0,23,0%,14.57
https://sri-kaza.com/book-tour/los-angeles,0,22,0%,18.95
https://sri-kaza.com/blog/fed-ppp,0,21,0%,11.67
https://sri-kaza.com/blog/physical-limit,0,17,0%,8.12
https://sri-kaza.com/blog/shutdown-small-business-advocacy,0,14,0%,6.14
https://sri-kaza.com/media/brian-nichols-1023,0,13,0%,18.38
https://sri-kaza.com/book-tour/washington-dc,0,13,0%,22.08
https://sri-kaza.com/media/conscious-mill-3170,0,12,0%,6.75
https://sri-kaza.com/media/namp-227,0,12,0%,10.08
https://sri-kaza.com/media/happiness-squad-146,0,12,0%,13.92
https://sri-kaza.com/media/abswest-22,0,10,0%,2.1
https://sri-kaza.com/media/payal-393,0,9,0%,10.67
https://sri-kaza.com/blog/smb-ai-adoption,0,8,0%,13.62
https://sri-kaza.com/media/what-if-jan2026,0,8,0%,14.88
https://sri-kaza.com/media/nutmeg-chatter-382,0,7,0%,4.86
https://sri-kaza.com/media/multiply-284,0,7,0%,9.86
https://sri-kaza.com/blog/five-things-2025,0,6,0%,5
https://sri-kaza.com/blog/eight-guidelines,0,4,0%,5.25
https://sri-kaza.com/blog/four-principles,0,4,0%,8
https://sri-kaza.com/blog/platform-extraction,0,3,0%,7.67
https://sri-kaza.com/blog/google-antitrust,0,2,0%,2.5
https://sri-kaza.com/blog/tariff-impact-small-business,0,2,0%,5
https://sri-kaza.com/blog/trust-equation,0,1,0%,3
https://sri-kaza.com/media/gwtw-830,0,1,0%,5
https://sri-kaza.com/media/joelevan-408,0,1,0%,6
https://sri-kaza.com/blog/pricing-for-value,0,1,0%,7
https://sri-kaza.com/media/pbp-228,0,1,0%,7
https://sri-kaza.com/media/sparks-108,0,1,0%,9
https://sri-kaza.com/media/umich-cfe-25,0,1,0%,9
https://sri-kaza.com/blog/mentorship-small-business,0,1,0%,12
https://sri-kaza.com/book-tour/sxsw-2026,0,1,0%,21
https://sri-kaza.com/blog/small-business-capital-access,0,1,0%,25
https://sri-kaza.com/book-tour/innovate-summit-2026,0,1,0%,27
