Top queries,Clicks,Impressions,CTR,Position
sri kaza,12,62,19.35%,1.44
mckinsey lilli,1,32,3.12%,24.25
email,1,2,50%,2
mckinsey ai lilli,1,2,50%,20
small business books,0,223,0%,31.89
best book for small business owners,0,93,0%,35
lilli ai,0,70,0%,22.39
best books for small business owners,0,56,0%,26.52
best small business books,0,48,0%,34.67
site:sri-kaza.com,0,43,0%,5.88
home based business books,0,42,0%,68.9
the book cellar chicago,0,39,0%,42.72
unconvention,0,26,0%,8.38
small business book,0,21,0%,32.43
the book cellar lincoln square,0,21,0%,38.14
best books for small business,0,20,0%,36.5
books on starting a small business,0,18,0%,32.83
lilli mckinsey,0,17,0%,20.53
mckinsey lilli generative ai platform consultants official,0,15,0%,7.93
doing books for a small business,0,15,0%,84.4
mckinsey lilli generative ai platform official,0,14,0%,10.21
book cellar chicago,0,14,0%,41.86
best books for starting a small business,0,14,0%,42.36
books for new business owners,0,13,0%,29.54
best books on small business,0,13,0%,31.85
book cellar lincoln square,0,13,0%,36.46
books on small business,0,13,0%,36.46
best books on starting a small business,0,13,0%,44.69
best books for entrepreneurs,0,12,0%,9.42
books about small business,0,12,0%,29.83
books for small business,0,12,0%,34.58
sriyan kaza,0,11,0%,9
pursue growth,0,10,0%,9.5
best business books for small business owners,0,10,0%,27.4
books small business,0,10,0%,29.4
best books about small business,0,10,0%,47.1
books about starting a small business,0,10,0%,60.5
books for small business owners,0,9,0%,27.67
small business books to read,0,9,0%,29.78
best book for starting a small business,0,9,0%,30.78
small business owner books,0,9,0%,32.11
best business books for beginners,0,8,0%,19.25
best books for new business owners,0,8,0%,21.38
books on running a small business,0,8,0%,31.25
best books small business owners,0,8,0%,33.5
best book for small business,0,8,0%,35
top books for small business owners,0,8,0%,47.75
sri kaza unconvention,0,7,0%,16
best small business book,0,7,0%,25.86
best business books for small business,0,7,0%,26.71
the book cellar chicago il,0,7,0%,59.86
lincoln square bookstore,0,7,0%,80.86
is consulting an sstb for qbi deduction 2025,0,6,0%,7.33
mckinsey lilli generative ai platform,0,6,0%,8.83
restaurant productivity,0,6,0%,14
big picture ai consultants,0,6,0%,49.67
best book on starting a small business,0,5,0%,45.6
best books about starting a small business,0,5,0%,49.4
check google listing,0,5,0%,91
"ai adoption among small businesses surges 41% in 2025 according to new 
survey from thryv",0,4,0%,9.75
mckinsey ai tool lilli,0,4,0%,14.5
lilli ai mckinsey,0,4,0%,15
mckinsey lilli ai,0,4,0%,24.75
best books to read for small business owners,0,4,0%,27
best small business startup books,0,4,0%,35.25
book on small business,0,4,0%,35.75
good small business books,0,4,0%,37
best books to start a small business,0,4,0%,39.75
best books on how to start a small business,0,4,0%,44.25
largest bookstore in san francisco,0,4,0%,59.25
books for starting a small business,0,4,0%,61
lilli ai tool,0,3,0%,20
top small business books,0,3,0%,26
best books for running a small business,0,3,0%,26.67
books on how to start a small business,0,3,0%,29.67
small business startup books,0,3,0%,35.67
best books on running a small business,0,3,0%,38.33
best new business books 2023,0,3,0%,43.67
show up when customers search your business on google montgomery county tn,0,3,0%,83
author contact,0,2,0%,1
lilli brings,0,2,0%,7
lilli,0,2,0%,9.5
thryv survey 2025 ai adoption among small businesses surges 41%,0,2,0%,10
best books for small business owners 2025 2026,0,2,0%,11.5
ai chatbot 'lilli',0,2,0%,18.5
best books for business beginners,0,2,0%,31
books on how to run a small business,0,2,0%,32
books to help start a business,0,2,0%,35.5
small business books best,0,2,0%,38.5
emma straub bookstore,0,2,0%,43
small business books for beginners,0,2,0%,45
best books on growing a small business,0,2,0%,49
books on running a business,0,2,0%,50
best books for starting small business,0,2,0%,52.5
biggest bookstore in san francisco,0,2,0%,57.5
small business management books,0,2,0%,57.5
books on small business management,0,2,0%,58.5
unconventional strategies,0,2,0%,77.5
business novels,0,1,0%,1
unconventions,0,1,0%,1
books,0,1,0%,2
there are more,0,1,0%,2
unconvention read online,0,1,0%,2
how strong is mckinsey’s expertise in generative ai?,0,1,0%,4
ai adoption among small businesses surges 41% in 2025 thryv survey,0,1,0%,10
